id	inquiry_category	general_template
11	[티빙] 더블이용권 계정 연결 방법	안녕하세요, Wavve(웨이브)입니다.\n\n문의하신 더블 이용권 계정 연결에 대해 안내드립니다. \n계정 연결 방법과 연결된 계정 정보 확인 방법을 안내해 드리니, 아래 내용을 확인해 주시기 바랍니다.\n\n■ 더블 이용권 계정 연결 방법\n1. 구매 완료 화면에서 바로 연결할 경우\n    ① 구매 완료 화면에서 [TVING 계정 연결하기] 선택\n    ② 원하는 TVING 계정에 로그인 또는 신규 회원 가입하여 연결\n\n2. 구매 시 연결하지 못해 나중에 연결할 경우\n    ① 더블 이용권을 구매한 계정으로 Wavve PC Web (www.wavve.com) 또는 Mobile Web (m.wavve.com)에 로그인 \n    ② [MY] 메뉴 → [나의 이용권] 선택 → 이용권 내역 → [TVING 계정 연결하기] 선택\n    ③ 원하는 TVING 계정에 로그인 또는 신규 회원 가입하여 연결\n\n※ 주의사항 : 연결하려는 TVING 계정에 이미 다른 이용권이 있는 경우 연결이 불가합니다. \n                   해당 이용권 해지 및 이용 기간 만료 후 연결하시거나, 다른 TVING 계정을 이용 바랍니다. \n\n■ 연결된 계정 정보 확인 방법(TVING 계정 정보는 알고 Wavve 계정 정보를 모르는 경우)\n① TVING PC Web에서 더블 이용권을 구매한 계정으로 로그인\n② 우측 상단 프로필 아이콘 → MY → [회원정보 수정] 메뉴 진입\n③ 연결된 Wavve ID 확인\n④ [회원정보 수정] 메뉴에서 Wavve 계정이 확인되지 않고 \n    [Wavve 계정 연결하기] 버튼이 보이는 경우 연결이 되지 않은 상태이며, \n    연결 이후 Wavve 이용이 가능합니다.\n\n■ 연결된 계정 변경 방법 \n    - 이미 연결된 계정을 변경하려면, 현재 사용 중인 이용권을 해지 또는 환불한 후 더블 이용권을 재구매해야 합니다.\n    - 이용권 해지 및 환불 관련 문의는 이용권 구매처로 연락 부탁드립니다.\n\n- Wavve에서 구입한 경우 **Wavve 고객센터 [채팅 상담사 연결]**바랍니다.\n- TVING에서 구입한 경우 TVING 고객센터로 문의\n\n앞으로 더욱 노력하는 Wavve(웨이브)가 되겠습니다.\n감사합니다.
12	[3 PACK] 이용권 계정 연결 방법	안녕하세요, Wavve(웨이브)입니다.\n\n문의하신 [3 PACK 이용권] 구매 후, \n웨이브 이용권 연결 및 확인 방법을 안내드립니다.\n\n▶ 티빙에서 [3 PACK 이용권] 구독 후 웨이브 계정 연결 방법\n1. 구매 완료 화면에서 바로 연결하기\n     - 구매 완료 화면 하단의 [연결된 계정 보기] 선택\n     - [연결하기] 버튼 클릭 후, 이용하실 Wavve 계정으로 로그인 \n       또는 회원가입을 진행하면 연결이 완료됩니다.\n\n2. MY 메뉴에서 연결하기\n     - [3 PACK 이용권] 을 구매한 계정으로 티빙(TVING) 로그인\n     - 우측 상단 [프로필 아이콘] > [MY] 진입\n     - 상단에 노출되는 [계정 연결하기] 배너를 클릭하여 Wavve 계정을 연결바랍니다. \n\n3. 이용권 관리 페이지에서 연결하기\n     - 티빙 로그인 후 [프로필 아이콘] > [MY] > [이용권 관리] 페이지 진입\n     -[연결된 계정 보기] → [연결하기] 버튼을 클릭하여 Wavve 계정 로그인을 진행바랍니다. \n\n▶ [3 PACK 이용권] 구독 후 연결된 웨이브 계정 확인 방법\n     - 확인 경로: 티빙 로그인 > [프로필 아이콘] > [MY] > [이용권 관리]\n     - 상세 내용: [연결된 계정 보기] 버튼을 클릭하면 \n       현재 연결된 Wavve 계정 유형 및 ID를 확인하실 수 있습니다.\n\n앞으로도 더 나은 서비스를 제공하기 위해 최선을 다하는 Wavve가 되겠습니다. \n감사합니다.
13	이용권 변경	안녕하세요, Wavve(웨이브)입니다.\n\n문의하신 이용권 변경 방법 안내드립니다.\n\n보유하신 이용권의 결제처별 이용권 변경 방법은 아래와 같습니다.  \n\n■ 보유하신 이용권의 결제처별 이용권 변경 방법 \n1. [Web/PC]에서 결제한 경우\n    ① 변경 경로\n        - 모바일 웹(Web): MY → 나의 이용권 → 하단 이용권 변경하기 선택 후 구매 \n        - PC: MY → 이용 중인 이용권 → 우측 상단 이용권 변경하기 선택 후 구매 \n    ② 유의 사항\n        - 보유한 이용권이 있는 상태에서 다른 이용권을 구매하면, 기존 이용권의 잔여 기간은 코인으로 부분 환불됩니다.\n        - 이용권 변경 시 코인으로 환불받는 것이 부담된다면, 자동 결제 해지 후 만료 후 재구매 바랍니다. \n        - Wavve(웨이브)에서 구매한 Bugs(벅스) 제휴 이용권은 이용 기간 중 변경이 불가능합니다.\n\n2. [iOS 기기(Apple)]로 결제한 경우\n     - 아이튠즈 iOS 앱 내 결제 건은 Wavve가 아닌 애플을 통해 구매하는 방식입니다.\n     - 이용권 변경 시 부분 환불이 적용되며, 환불 정책은 애플의 기준을 따릅니다.\n     - 상세 문의는 **애플 고객센터(☎ 080-333-4000)**로 문의 바랍니다.\n\n3. [안드로이드(Google Play)]로 결제한 경우\n     - 구글 플레이 앱 내 결제 건은 Wavve가 아닌 구글을 통해 구매하는 방식으로\n     - 구글 정책에 따라 이용권 중도 변경이 불가합니다.\n     - 기존 이용권이 구독 취소(=자동 결제 해지) 후 이용 기간이 만료되면 새로운 이용권을 구매할 수 있습니다.\n     - 즉시 다른 이용권으로 변경을 원하신다면, Wavve 고객센터 [채팅 상담사 연결] 바랍니다.   \n\n4. 제휴사 회원 결제 상품 구매\n    - 통신사(SKT, KT, 알뜰폰, 스카이라이프), 벅스, FLO 등 외부 제휴처를 통해 구매하신 이용권은 \n      Wavve에서 직접적인 확인 및 안내가 어렵습니다. 해당 이용권 관련 문의는 \n      구매하신 제휴처 고객센터를 통해 확인해 주시기 바랍니다.\n\n앞으로 더욱 노력하는 Wavve(웨이브)가 되겠습니다.\n감사합니다.
14	결제 수단 변경 방법	안녕하세요, Wavve(웨이브)입니다.\n\n문의하신 결제처별 결제 수단 변경 방법 안내드립니다.  \n\n■ 결제처별 결제 수단 변경 방법 안내\n1. [Web/PC]에서 결제한 경우\n    ① 변경 경로\n        - 모바일 웹(Web): MY → 나의 이용권 → 자동 결제 해지 버튼 우측 \n                                  → [결제 수단 변경] 선택 (접속 주소: www.wavve.com)\n        - PC: MY → 이용 중인 이용권 → [결제수단 변경] 버튼 선택\n    ② 유의 사항\n        - 모바일 앱(안드로이드/iOS): 앱 내에서는 결제 수단 변경 기능을 지원하지 않습니다. (웹/PC 이용 권장)\n        - 결제 수단은 신용(체크)카드로만 변경하실 수 있습니다.\n        - 결제 예정일 당일에는 이미 결제사로 정보가 전달되어, 수단을 변경하시더라도 기존 수단으로 결제될 수 있으니 유의 바랍니다.\n        - 결제 예정일 이전에 미리 변경하셔도 즉시 결제되지 않으며, 다가오는 결제 예정일부터 변경된 수단으로 자동 결제됩니다.\n\n2. [iOS 기기(Apple)]로 결제한 경우\n    ① 변경 경로 : 아이폰/아이패드 [설정] → 맨 위 [Apple ID 이름] 선택 \n                       → [결제 및 배송] → 기존 수단 수정 또는 [지불 방법 추가]\n    ② 참고 : Apple ID에 등록된 기본 결제 수단을 변경하면, Wavve를 포함하여 해당 계정으로 구독 중인 모든 서비스에 적용됩니다.\n\n3. [안드로이드(Google Play)]로 결제한 경우\n    ① 변경 경로 : [Google Play 스토어] 앱 실행 → 우측 상단 [프로필 아이콘] \n                         → [결제 및 정기 서비스] → [결제 수단] → [결제 설정 더보기] 또는 수단 수정\n    ② 참고 : Google Play를 통해 구독 중인 경우, \n                 Google 계정에 등록된 결제 수단을 관리하여 변경하실 수 있습니다.\n\n4. 제휴사 회원 결제 상품 구매\n    - 통신사(SKT, KT, 알뜰폰, 스카이라이프), 벅스, FLO 등 외부 제휴처를 통해 구매하신 이용권은 \n      Wavve에서 직접적인 확인 및 안내가 어렵습니다. 해당 이용권 관련 문의는 \n      구매하신 제휴처 고객센터를 통해 확인해 주시기 바랍니다.\n\n앞으로 더욱 노력하는 Wavve(웨이브)가 되겠습니다.\n감사합니다.
15	이용권 미지급/결제 실패	안녕하세요, Wavve(웨이브)입니다.\n\n문의하신 결제 실패 사유 및 결제처별 해결 방법에 대해 안내드립니다.\n\n고객님의 이용권 결제는 휴대폰 소액결제 한도 초과, 신용카드 한도 초과, 분실 카드 \n혹은 유효기간 만료 등 결제 수단의 문제로 인해 실패할 수 있습니다.\n\n결제처에 따른 상세 해결 방법을 아래와 같이 안내해 드리오니 참고해 주시기 바랍니다.\n\n■ 결제처별 해결 방법 안내\n1. [Web/PC]에서 결제한 경우\n   ① 결제 수단 갱신 : 재시도 기간 내에 새로운 결제 수단을 등록하시면, 별도의 절차 없이 정상적으로 자동 결제 상태를 유지하실 수 있습니다.\n   ② 결제 수단별 재시도 일정\n       - 휴대폰 결제 : 결제일 이후 5일 동안 1일 1회 재시도를 진행합니다. \n         (단, 결제 월이 지나 다음 달이 되면 재시도가 불가한 점 유의 부탁드립니다.)\n       - 신용카드: 결제 예정일로부터 5일간 매일 1회 재결제를 시도하며, \n         자동 결제일 기준 10일째에 최종 결제 시도를 진행합니다.\n   ③ 직접 재구매: 새 결제 수단으로 이용권을 직접 구매하시면 즉시 이용권이 지급됩니다.\n       다만, 이 경우 기존 자동 결제 유지 시 제공되던 할인 혜택이 소멸되어 정상 금액으로 결제될 수 있습니다.\n\n2. [iOS 기기(Apple)]로 결제한 경우\n   ① 구매 내역 확인 : [앱스토어 → 계정 → 구독 관리] 메뉴에서 \n       해당 이용권이 정상적으로 구매 완료되었는지 확인 바랍니다. \n   ② 이용권 복원 : 정상 구매 상태임에도 이용이 불가하다면,\n       앱 내 이용권 구매 페이지 하단의 **'구매 내역 복원하기'**를 눌러주시기 바랍니다. \n       이후 [MY → 이용권 내역]에서 이용권이 확인된다면 정상적으로 복원된 것입니다.\n   ③ 예외 상황 해결\n       - 복원이 되지 않는다면 현재 로그인된 계정이 아닌 다른 계정으로 구매했을 가능성이 있습니다.\n       - 구독 관리 내역에 이용권이 없다면 재구매가 필요하며, 타 계정 확인이 \n         어려우실 경우 **애플 고객센터(080-333-4000)**를 통해 취소 후 재구매를 진행해 주시기 바랍니다.\n   ④ 결제 실패 : 앱스토어에 등록된 결제 수단 문제로 구독이 취소될 수 있으니, \n                      자세한 사항은 애플 고객센터로 문의 부탁드립니다.\n\n3. [안드로이드(Google Play)]로 결제한 경우\n   ① 구매 내역 확인: [구글 플레이 스토어 → 계정 → 결제 및 정기 결제 → 정기 결제]에서 구매 완료 여부를 확인해 주십시오.\n   ② 반영 시간 안내: 정상 구매 건이라도 해외 시차의 영향으로 실제 반영까지 약 1일 정도 소요될 수 있습니다.\n   ③ 미반영 시 확인 사항\n       - 구매 내역이 확인되지 않는다면 다른 계정으로 구매했는지 확인이 필요합니다.\n       - 다른 계정 구매가 아님에도 이용이 어렵다면 구글 이메일 주소 또는 \n         주문 번호를 지참하여 **Wavve 고객센터 [채팅 상담사 연결] 또는 [1:1 문의] 재문의 바랍니다.\n   ④ 결제 실패 : 구글 플레이 스토어 내 등록된 결제 수단 문제로 \n                       구독이 취소될 수 있으니, 상세 내용은 **구글 고객센터(🔗 support.google.com)**로 문의 부탁드립니다.\n\n4. 제휴사 회원 결제 상품 구매\n    - 통신사(SKT, KT, 알뜰폰, 스카이라이프), 벅스, FLO 등 외부 제휴처를 통해 구매하신 이용권은 \n      Wavve에서 직접적인 확인 및 안내가 어렵습니다. 해당 이용권 관련 문의는 \n      구매하신 제휴처 고객센터를 통해 확인해 주시기 바랍니다.\n\n앞으로 더욱 노력하는 Wavve(웨이브)가 되겠습니다.\n감사합니다.
16	결제 정보로 아이디 확인 방법 안내	안녕하세요, Wavve(웨이브)입니다.\n\n문의하신 이용권 확인과 관련하여 안내드립니다.\n\n현재 전달해 주신 정보만으로는 이용권이 결제된 계정이 확인되지 않습니다. \n\n매칭 정보가 불분명하여 상세 안내가 어려우니, \n아래 결제 수단별 내용을 참고하시어 추가 정보와 함께 재문의 부탁드립니다.\n\n1. [Web/PC]에서 결제한 경우\n  ① 결제 일자 : \n  ② 결제 금액 : \n  ③ 결제 수단 : 카드 / 휴대폰 소액결제 / 네이버 페이 / 카카오 페이 / 페이코 중 택 1\n  ④ 결제 수단별 주문번호/정보 :\n      - 카드 : 카드번호 16자리 혹은 승인번호\n      - 휴대폰 소액결제 : 결제된 휴대폰 번호\n      - 네이버 페이 : 중간에 영어 NP가 기재된 결제 주문번호\n      - 카카오 페이 : 가맹점 주문번호 / 승인번호 / TID 중 택1\n      - 페이코 : 승인번호 \n      - 원스토어 결제 : 원스토어 아이디 / 등록 휴대폰 번호 \n\n2. 애플(Apple) 아이튠즈 결제\n  ① 금액 예시: 5,000원, 6,000원, 7,000원, 9,000원, 12,500원, 16,000원 등\n  ② 조치 방법: 앱 내 **[구매내역 복원]**을 통해 아이디 확인이 가능합니다.\n      - 경로: Wavve 앱 홈 → [MY] → [이용권 구매] → 하단 작은 글씨 중 '구매내역 복원' 선택\n  ③ [요청 정보] (복원 후에도 확인이 안 될 경우)\n      - 이용권 명 및 결제 금액 :\n      - 이용권 구매 일자 :\n      - 구매내역 복원 시간: (시/분/초 단위까지 상세 기재 필수)\n      - 복원 시 노출되는 팝업 문구 :\n\n3. 구글 플레이(Google Play) 결제\n  ① 금액 예시: 4,950원, 6,250원, 8,000원, 12,500원, 16,000원 등\n  ② [요청 정보]\n      - Play 스토어 앱에 로그인된 구글 이메일 주소 :\n      - 결제일 및 결제 금액 :\n      - 주문번호: (예: GPA.1234-1234-1234-12345)\n        (확인 경로: 구글 메일함 또는 pay.google.com 사이트)\n\n4. 통신사 부가서비스 및 제휴 상품\n  ① [요청 정보]\n      - SKT 부가서비스/우주패스: 상품명 / 가입(등록) 일자 / 등록 휴대폰 번호\n      - KT 알뜰폰 부가서비스: 상품명 / 가입(등록) 일자 / KT 일련번호(회원번호)\n\n재문의 시 제목에 [재문의]를 기재해 주시면 더욱 빠른 확인이 가능합니다. \n(정보 접수 후 내부 확인까지 영업일 기준 2~3일이 소요될 수 있습니다.)\n\n앞으로 더욱 노력하는 Wavve(웨이브)가 되겠습니다. \n감사합니다.
17	자동결제 해지 및 구독취소	안녕하세요, Wavve(웨이브)입니다.\n\n문의하신 자동 결제 해지관련 안내드립니다. \n결제처에 따른 해지 경로 안내드립니다.  \n\n■ 결제처에 따른 <자동 결제 해지(=구독 취소)> 경로  \n1. [Web/PC]에서 결제한 경우\n   - 웨이브 앱 로그인 > MY > 나의 이용권 > [해지하기] 클릭\n\n2. [iOS 기기(Apple)]로 결제한 경우\n   - 휴대폰 [설정] > 맨 위 [내 이름] 클릭 > [구독] > Wavve 선택 > [구독 취소]\n\n3. [안드로이드(Google Play)]로 결제한 경우\n   - [Play 스토어] 앱 실행 > 오른쪽 위 [프로필 아이콘] > [결제 및 정기 결제] > Wavve 선택 > [취소]\n\n앞으로 더욱 노력하는 Wavve가 되겠습니다.\n감사합니다.
18	결제 취소	안녕하세요, Wavve(웨이브)입니다.\n\n문의하신 결제 취소 관련하여 안내드립니다.\n취소 결과 및 결제처별 해지/취소 경로는 아래의 내용으로 상세 확인 부탁드립니다.\n\n■ 결제처에 따른 자동 결제 해지(=구독 취소) 및 취소 방법 안내 \n1. [Web/PC]에서 결제한 경우\n    ① 해지 경로 : 웨이브 앱 로그인 > MY > 나의 이용권 > [해지하기] 클릭\n    ② 결제 취소 : Wavve(웨이브) 고객센터 1:1문의 또는 채팅 상담으로 요청 가능\n\n2. [iOS 기기(Apple)]로 결제한 경우\n    ① 해지 경로 : 휴대폰 [설정] > 맨 위 [내 이름] 클릭 > [구독] > Wavve 선택 > [구독 취소]\n    ② 결제 취소 \n         - 애플 인앱 결제건은 애플의 보안 정책상 Wavve(웨이브)에서 직접 취소 처리가 어렵습니다.  \n         - 번거로우시더라도 Apple 고객센터(080-333-4000) 또는 \n           [Apple 지원 홈페이지]를 통해 직접 취소/환불 요청 바랍니다.  \n\n3. [안드로이드(Google Play)]로 결제한 경우\n    ① 해지 경로 : [Play 스토어] 앱 실행 > 오른쪽 위 [프로필 아이콘] > [결제 및 정기결제] > Wavve 선택 > [취소]\n    ② 결제 취소\n         - Wavve(웨이브)를 통한 취소/환불 검토 시에는 정확한 확인을 위해 \n           **구글 주문번호(GPA.0000-0000-0000-00000 형식)**와 \n           구글 결제 계정(이메일) 정보가 필요합니다. 해당 정보를 확인하여 \n           회신 주시면 추가 안내 도와드리겠습니다.\n\n앞으로 더욱 노력하는 Wavve(웨이브)가 되겠습니다.\n감사합니다.
19	영수증 발행 문의	안녕하세요, Wavve(웨이브)입니다.\n\n문의하신 영수증 발행 관련 사항에 대해 안내드립니다.\n\n현재 당사에서는 보안 및 개인정보 보호를 위해\n직접적인 영수증 발행 서비스를 제공하지 못하는 점 양해 부탁드립니다.\n\n[영수증 제공 서비스 종료 안내]\n- 종료 일시: 2014년 3월 7일 13시\n- 종료 원인: 영수증 서비스 개인정보 노출 및 해킹 이슈에 따른 서비스 종료 \n                   (PG사 고객 정보 노출 및 금감원 보안 권고 사항 반영)\n\n번거로우시겠지만, 정확한 결제 증빙을 위해 \n결제처의 영수증 확인 및 대행사인 **[페이레터]**를 통해 거래 내역서 발행 문의를 부탁드리겠습니다.\n\n- 페이레터 고객센터: ☎ 1599-7591\n\n직접적인 도움을 드리지 못해 죄송하며, \n앞으로 더욱 노력하는 Wavve가 되겠습니다. \n감사합니다.
20	현금 영수증 발행 문의	안녕하세요, Wavve(웨이브)입니다.\n\n문의하신 현금영수증 발급 관련하여 안내드립니다.\n\n웨이브 이용권 쿠폰을 구매하여 등록하신 경우, 현금영수증 발급이 가능합니다. \n아래 정보를 기재하여 **[1:1 문의]**로 재문의해 주시면 신속히 처리해 드리겠습니다.\n\n■ 발급 대상 이용권\n- 대상: 이용권 쿠폰, 장기 이용권 쿠폰, 기프티콘 등 (직접 결제한 현금성 쿠폰에 한함)\n- 제외: 일반 정기 결제 이용권 (결제 시 선택한 결제 수단에서 자동 발급되거나 카드 결제인 경우 제외)\n\n■ 기재 필요 정보\n- 이름:\n- 웨이브 ID:\n- 이메일 주소:\n- 연락 가능한 번호:\n- 현금영수증 발행 식별번호: (휴대폰 번호 또는 사업자 등록번호)\n\n※ 사업자 지출 증빙이 필요하신 경우, 반드시 사업자 등록번호를 기재해 주시기 바랍니다. \n※ 사업자 등록번호가 없는 경우에는 **개인 소득공제용(지출 증빙)**으로 발행됩니다.\n\n앞으로 더욱 노력하는 Wavve(웨이브)가 되겠습니다. 감사합니다.
21	환불_계좌 입금일	안녕하세요, Wavve (웨이브)입니다.\n\n문의하신 중도 환불 입금일 관련하여 안내드립니다.\n\n중도 환불은 상담사를 통해 접수하실 수 있으며, \n환불 가능 금액에 대해 안내받으신 후 [입금 동의]를 해주시면 \n정확한 입금 일정을 확인하실 수 있습니다.\n\n[입금 안내]\n- 입금 동의 확인 후 영업일 기준 3일 이내에 입금됩니다.\n- 입금자명은 **'콘텐츠웨이브'**로 확인 부탁드립니다.\n\n앞으로 더욱 노력하는 Wavve(웨이브)가 되겠습니다. \n감사합니다. 
22	중도 환불	안녕하세요, Wavve(웨이브)입니다.\n\n문의하신 이용권 중도 환불에 대해 안내드립니다.  \n\n■ 환불 규정\n1. 산정 방식 : 결제 주기의 시작일부터 해지 신청일까지의 이용료를 일할 계산하여 제외한 후 산정됩니다.\n2. 이벤트 상품 : 할인 혜택을 받아 구매한 경우, 할인 미적용(정상가) 기준으로 환불 금액이 정산됩니다.\n3. 수수료 안내 : 중도 해지 환불 시 당사의 <유료상품 이용약관> 제 12조 [환불정책]의 2항에 의거하여 \n                       결제 대행 수수료를 제외한 나머지 금액 환불이 가능합니다.\n\n■ 결제처에 따른 환불 신청 방법\n1. [Web/PC]에서 결제한 경우\n   - 취소 및 중도 해지는 **Wavve 고객센터 [채팅 상담사 연결] 또는 [1:1 문의]**를 통해 신청 가능합니다.\n\n2. [iOS 기기(Apple)]로 결제한 경우\n   - 애플 정책에 따라 Wavve가 아닌 애플에서 결제가 관리됩니다.\n   - 구독 취소 및 환불 문의: **애플 고객센터(☎ 080-333-4000)**로 직접 문의해 주시기 바랍니다.\n   - 만약 애플에서 취소 처리가 거부되었다면, **취소 불가 사유(메일 등)**를 확인하신 후 \n     Wavve 고객센터로 연락 주시면 추가 확인을 도와드리겠습니다.\n\n3. [안드로이드(Google Play)]로 결제한 경우\n   - 구글 결제 건의 경우, 구글 계정(이메일 주소) 또는 주문 번호(GPA.로 시작)를 확인하여 \n     Wavve 고객센터 [채팅 상담사 연결] 또는 [1:1 문의]로 접수해 주시기 바랍니다.\n\n앞으로 더욱 노력하는 Wavve(웨이브)가 되겠습니다.\n감사합니다.
23	[IOS] 구독 복원	안녕하세요, Wavve(웨이브)입니다.\n\n문의하신 내용 확인 후 안내드립니다.\n\n회원님께서 전달해 주신 정보를 확인한 결과,\n이용권은 아이튠즈를 통해 결제된 것으로 예상됩니다.\n\n현재 결제 후 이용권이 계정에 정상적으로 지급되지 않은 상황으로 보입니다. \n아래의 경로를 통해 구매 내역 복원을 진행해 주시기 바랍니다.\n\n■ 복원 경로 \n- iOS 기기 : 웨이브 앱 홈 화면 → 하단 오른쪽 MY → 이용권 구매\n- 진행 방법: [이용권 공통 혜택] 하단 두 번째 문단, 작은 글씨 중 밑줄 처리가 된 ‘구매내역 복원’ 선택\n\n복원 후에도 이용권 확인이 되지 않는다면 현재 이용이 불가한 상태이므로, 결제 취소가 가능합니다.\n\n다만, 해당 결제 건은 애플(Apple)사의 자체 결제 수단을 이용한 것이기에 \nWavve(웨이브) 측에서 직접 취소 처리를 해드리기 어렵습니다.\n\n번거로우시겠지만, 결제 취소가 필요하신 경우\n**애플코리아 고객센터(080-333-4000)**로 직접 요청해 주시기 바랍니다.\n\n※ 애플코리아 홈페이지 내 [고객지원] 메뉴에서 \n메일 또는 채팅으로도 접수가 가능합니다. ( support.apple.com/ko-kr/billing )\n\n앞으로 더욱 노력하는 Wavve(웨이브)가 되겠습니다.   \n감사합니다.   
24	[SKT] 부가서비스, 우주패스 해지 	안녕하세요, Wavve(웨이브)입니다.\n\n문의하신 SKT 제휴 웨이브 이용권 해지 방법 안내드립니다.  \n\n■ [부가서비스] SKT 제휴 웨이브 이용권 해지 방법\n1. 가장 빠른 방법: 전화 (114)\n    - 휴대폰에서 114(무료)를 누르고 상담원에게 "웨이브 부가서비스 해지해 주세요"라고 말씀하시면 바로 처리됩니다.\n2. 스스로 해결하기: T월드(T world) 앱/웹\n    - T월드 앱 실행 또는 홈페이지 접속\n    - [MY] → [나의 가입 정보] → [나의 부가서비스] 메뉴로 이동\n    - 목록에서 'Wavve 앤 데이터' 등 관련 상품을 찾아 [해지] 버튼 클릭\n3. 오프라인 방문\n    - 가까운 SKT 대리점 및 지점에 신분증을 지참하고 방문하여 해지를 요청하실 수 있습니다.\n\n■ [우주패스] 구독 웨이브 이용권 해지 방법\n1. 가장 빠른 방법: 전화\n    - 1505 (무료/SKT통신사)\n    - 1800-0515 (유료/그 외 통신사)\n2. 스스로 해결하기: T우주\n    - [나의 구독] → 구독 중인 상품 선택 → 맨 아래 [해지하기]\n\n※ 참고\n중도 해지 시\n- 부가서비스 : 해지 즉시 이용이 중단됩니다. \n- 우주패스 : 구독 상품으로 해지 시, \n                   남은 기간까지 유지될 수도 있으니 해지 과정에서 상세 확인 바랍니다 . \n- 결제 권한: 웨이브 답변처럼 돈을 받아가는 주체가 SKT이기 때문에, \n                    웨이브 고객센터에서는 시스템상 '취소' 버튼 자체가 활성화되지 않는 구조입니다.\n\n앞으로 더욱 노력하는 Wavve(웨이브)가 되겠습니다.\n감사합니다.
25	[네이버] 정기 결제 연결 해지 안내	안녕하세요, Wavve(웨이브)입니다.\n\n문의해 주신 네이버페이 정기결제 해지 관련하여 아래와 같이 안내드립니다.\n\n네이버페이로 결제하신 일부 이용권의 경우, \n실제 이용권이 만료되었더라도 정기결제 등록 정보가 남아 있는 경우가 있습니다.\n\n이로 인해 네이버 측에서 카드 삭제나 결제 수단 변경 시 제한이 발생할 수 있습니다.\n\n해당 현상이 발생할 경우, Wavve(웨이브)에서 네이버페이 측과 협업하여\n 해지 처리를 도와드릴 수 있습니다. \n\n번거로우시더라도 아래 결제 정보를 빠짐없이 기재하신 후 재문의 부탁드립니다.\n\n◆ 재문의 시 기재 사항 ◆\n① 결제일: (예: 2025년 7월 22일) \n② 결제금액: (예: 10,900원) \n③ 네이버페이 주문번호: (예: 20250722NP12345678)\n\n※ 주문번호는 **네이버페이 고객센터(☎ 1588-3819)**를 통해 확인 가능합니다. \n※ 반드시 **“정기결제가 아직 해지되지 않은 결제 내역”**의 주문번호를 기준으로 접수해 주셔야 합니다.\n\n재문의 시, 제목에 **[재문의]**를 기재해 주시면 더욱 신속한 확인이 가능합니다.\n\n보내주신 정보를 토대로 정기결제 해지 요청을 담당 부서에 전달하여 \n네이버페이와 협의 후 처리해 드릴 예정입니다. \n\n처리는 접수일 기준 영업일 2~3일 정도 소요될 수 있는 점 양해 부탁드립니다.\n\n앞으로 더욱 노력하는 Wavve(웨이브)가 되겠습니다. \n감사합니다.
26	iOS 3개월 할인 이벤트	안녕하세요, Wavve(웨이브)입니다.\n\n문의하신 애플 인앱 할인 이벤트에 대해 안내드립니다.\n\n[iOS 3개월 할인 이벤트란?] \n애플 계정 기준으로 이용권을 처음 결제할 때, 3개월간 할인 혜택이 적용되는 이벤트입니다.\n\n① 대상 이용권: 베이직, 스탠다드, 프리미엄\n② 할인 가격: 베이직 5,000원 / 스탠다드 6,000원 / 프리미엄 7,000원\n③ 유의 사항\n    - 이용 중인 애플 계정으로 무료 체험을 이용한 이력이 있다면, 본 할인 이벤트 대상에서 제외됩니다.\n    - [구독 해지 안내] 할인 혜택이 제공되는 3개월만 이용하기를 원하신다면, \n      다음 결제일이 오기 전에 미리 '구독 취소'를 진행해 주셔야 합니다.\n    - 구독 취소 경로: App Store 실행 > 우측 상단 [프로필 아이콘] 클릭 \n       > [계정명(이메일)] 선택 > [구독] 메뉴에서 Wavve 선택 후 취소\n      구독 취소를 진행하더라도 현재 이용 중인 이용권의 남은 기간은 그대로 이용하실 수 있습니다.\n\n앞으로 더욱 노력하는 Wavve(웨이브)가 되겠습니다.\n감사합니다.
27	구글플레이 3개월 할인 이벤트	안녕하세요, Wavve(웨이브)입니다.\n\n문의하신 구글플레이(Google Play) 인앱 할인 이벤트에 대해 안내드립니다.\n\n[구글플레이 3개월 할인 이벤트란?] \n구글 계정을 기준으로 이용권을 처음 결제할 때, 3개월간 50% 할인 혜택이 적용되는 이벤트입니다.\n\n- 대상 이용권: 베이직, 스탠다드, 프리미엄\n- 이벤트 할인가: 베이직 4,500원 / 스탠다드 6,250원 / 프리미엄 8,000원\n\n앞으로 더욱 노력하는 Wavve(웨이브)가 되겠습니다.\n감사합니다.
